,Star Rating,Title,lemmatized_tokens
10,5.0,Color me impressed,"['thing', 'suck', 'seriously', 'though', 'suction', 'impressive', 'small', 'offbrand', 'vacuum', 'bought', 'use', 'around', 'house', 'didnt', 'get', 'big', 'heavy', 'shark', 'every', 'time', 'small', 'cleanup', 'somewhere', 'buy', 'ac', 'dc', 'cigarette', 'lighter', 'converter', 'charge', 'house', 'hold', 'charge', 'impressively', 'long', 'come', 'tool', 'get', 'hard', 'reach', 'space', 'like', 'oven', 'cupboard', 'underneath', 'oven', 'around', 'trashcan', 'crevice', 'tool', 'extension', 'havent', 'really', 'used', 'brush', 'much', 'seems', 'perfect', 'cleaning', 'baseboard', 'filter', 'easy', 'clean', 'outeven', 'come', 'second', 'filter', 'handy', 'carrying', 'case', 'travel', 'thing', 'would', 'sweeten', 'deal', 'wall', 'mount', 'charge', 'itand', 'came', 'ac', 'dc', 'converter', 'plug', 'charge']"
11,4.0,Good for convenience,"['appreciate', 'car', 'plug', 'option', 'im', 'underground', 'parking', 'structure', 'reviewer', 'mentioned', 'suction', 'great', 'bought', 'expensive', 'model', 'higher', 'voltage', 'cant', 'imagine', 'lower', 'volt', 'one', 'good', 'tidying', 'deep', 'clean', 'obviously']"
12,4.0,Does the job,"['job', 'wish', 'little', 'suction', 'sucked', 'mess', 'vehicle', 'car', 'wasnt', 'dirtiest', 'said', 'wish', 'suction', 'power', 'really', 'liked', 'different', 'attachment', 'able', 'get', 'tight', 'space', 'vacuum', 'nice']"
13,4.0,Nice for the price,"['nice', 'item', 'well', 'made', 'price', 'job']"
14,4.0,Easy to use size,"['short', 'battery', 'life', 'cant', 'finish', 'entire', 'car', 'without', 'plugged']"
15,4.0,Great value,"['great', 'price', 'perfect', 'easy', 'quick', 'pickup', 'car', 'love', 'plug', 'cigarette', 'lighter']"
16,4.0,Didn't work with my car,"['great', 'price', 'arrived', 'quickly', 'nicely', 'packaged', 'opened', 'box', 'realized', 'didnt', 'type', 'outlet', 'needed', 'returned']"
17,4.0,Works great for small jobs,"['wish', 'little', 'suction', 'power', 'great', 'camper']"
18,4.0,Not what I expected,"['suction', 'good', 'depends', 'youre', 'trying', 'get', 'car', 'cord', 'reasonable', 'deep', 'cleaning', 'honest', 'vacuum', 'light', 'cleaning', 'car', 'really', 'great', 'job']"
19,4.0,Gets the job done,"['work', 'pretty', 'well', 'minor', 'pick', 'ups', 'like', 'thing', 'pick', 'ground', 'good', 'dog', 'fur']"
20,4.0,Very useful,['handy']
21,4.0,Good For Light Cleaning,"['good', 'quality', 'work', 'great', 'light', 'mess', 'doesnt', 'pick', 'small', 'pebble', 'accumulate', 'floor', 'board', 'truck']"
22,4.0,Corded vacuum works pretty well,"['looking', 'cordless', 'car', 'vacuum', 'came', 'upon', 'corded', 'one', 'sale', 'brainer', 'try', 'cord', 'long', 'enough', 'get', 'around', 'entire', 'interior', 'large', 'suv', 'plug', 'cigarette', 'lighter', 'come', 'case', 'house', 'plus', 'attachment', 'decent', 'job', 'cleaning', 'carpet', 'yet', 'take', 'bit', 'time', 'effort', 'flat', 'attachment', 'work', 'well', 'detail', 'crevice', 'around', 'interior', 'car', 'vacuum', 'could', 'benefit', 'suction', 'power', 'yet', 'overall', 'cost', 'make', 'worthwhile', 'buy', 'would', 'buy']"
23,4.0,Not bad,"['suction', 'power', 'ok', 'may', 'still', 'need', 'go', 'washing', 'center', 'vacuum']"
24,5.0,Powerful suction for its size,"['product', 'work', 'name', 'say', 'worx', 'impressed', 'suction', 'small', 'cleaning', 'vacuum', 'worth', 'price', 'please', 'note', 'car', 'lower', 'amp', 'fuse', 'example', 'amp', 'would', 'suggest', 'installing', 'fuse', 'amp', 'higher', 'original', 'vacuum', 'might', 'draw', 'power', 'heat', 'fuse', 'handle', 'pop', 'fuse', 'though', 'main', 'purpose', 'fuse', 'annoying', 'replacing', 'fuse', 'every']"
25,4.0,Not Worth the money,"['wont', 'suck', 'auto', 'floor', 'husband', 'complains', 'time']"
26,5.0,Great for the show field,"['great', 'little', 'vac', 'prep', 'car', 'car', 'show', 'field', 'bought', 'one', 'last', 'year', 'husband', 'wanted', 'one', 'car', 'saw', 'great', 'discount', 'holiday', 'bought']"
27,4.0,Not quite strong enough,"['bought', 'gift', 'daughter', 'said', 'ok', 'job', 'quite', 'strong', 'enough']"
28,4.0,Lets be honest,"['bought', 'thing', 'deep', 'discount', 'didnt', 'expect', 'much', 'paid', 'actually', 'pretty', 'decent', 'want', 'something', 'deep', 'clean', 'car', 'carpet', 'might', 'want', 'keep', 'looking', 'market', 'something', 'quickly', 'conveniently', 'clean', 'seat', 'floorboard', 'worth', 'great', 'little', 'vacuum', 'keep', 'trunk', 'use', 'spot', 'clean', 'mess', 'go', 'need', 'emptied', 'frequently', 'pretty', 'easy', 'filter', 'get', 'covered', 'suction', 'power', 'suffers', 'cost', 'worth']"
29,4.0,Good product,['like']
30,4.0,Seen better,"['ok', 'great']"
31,4.0,Got as a gift,"['got', 'gift', 'sister', 'loved', 'bc', 'kid', 'theyre', 'always', 'messing', 'car']"
32,5.0,That it works...that's the key,"['job', 'disability', 'provides', 'flexibility', 'without', 'overpowering', 'inability', 'flexibility', 'easy', 'use', 'key', 'since', 'take', 'vehicle', 'regular', 'car', 'wash', 'due', 'electronic', 'lift', 'use', 'touchless', 'mean', 'im', 'capable', 'using', 'vacuum', 'suvdue', 'weight', 'etc', 'vacuum', 'perfect', 'need']"
33,5.0,Works best when car is on,"['love', 'little', 'vacuum', 'work', 'best', 'car', 'give', 'power', 'still', 'work', 'well', 'car', 'like', 'came', 'many', 'attachment', 'got', 'thing', 'sale', 'im', 'happy']"
34,4.0,Works well,"['good', 'cleaner', 'price', 'suck', 'pretty', 'good', 'useful']"
35,5.0,Very practical,"['kid', 'get', 'totally', 'worth', 'toddler', 'constantly', 'eating', 'snack', 'car', 'lifesaver', 'specially', 'car', 'seat', 'great', 'buy', 'cable', 'super', 'long', 'one', 'thing', 'jot', 'like', 'need', 'plugged', 'car', 'lighter', 'need', 'start', 'car', 'order', 'able', 'use', 'perfect']"
36,4.0,Great little vacuum though not as powerful as I'd like it to be,"['job', 'pick', 'big', 'piece', 'unfortunately', 'good', 'deep', 'cleaning', 'powerful', 'handheld', 'vacuum', 'cleaner']"
37,4.0,Beautiful but not that strong,"['packaging', 'amazing', 'suction', 'vacuum', 'however', 'isnt', 'absolute', 'greatest', 'pick', 'slightly', 'bigger', 'piece', 'debris', 'like', 'little', 'stick', 'grass', 'anything', 'smaller', 'pinky', 'nail', 'wouldnt', 'get', 'sucked']"
38,4.0,Very impressed,"['impressed', 'vacuum', 'love', 'come', 'different', 'tool', 'definitely', 'helped', 'getting', 'smaller', 'area', 'good', 'quick', 'clean', 'would', 'recommend']"
39,4.0,Arrived in good condition and is surprisingly strong,"['attachment', 'need', 'good', 'suction', 'strength', 'powercord', 'long', 'reach', 'around', 'car', 'good', 'purchase']"
40,5.0,Works great,"['great', 'addition', 'car', 'especially', 'kid', 'suction', 'strong', 'regular', 'vacuum', 'really', 'problem', 'help', 'keep', 'car', 'clean', 'without', 'go', 'car', 'wash']"
41,5.0,This little car vac works great!,"['used', 'clean', 'messy', 'car', 'today', 'work', 'great', 'move', 'teenager', 'car', 'mess', 'let', 'say', 'little', 'vac', 'pretty', 'full', 'previously', 'bought', 'cordless', 'vac', 'suction', 'good', 'vac', 'good', 'suction', 'attachment', 'helpful']"
42,5.0,Perfect for family vehicles,"['got', 'cyber', 'monday', 'sale', 'think', 'worth', 'regular', 'price', 'work', 'well', 'size', 'clean', 'entire', 'mini', 'van', 'cord', 'long', 'im', 'happy', 'help', 'keep', 'vehicle', 'relatively', 'clean', 'neat', 'meticulous', 'grandfather', 'would', 'proud']"
43,4.0,Suction isn't what you get at the coin operated vendors.,"['work', 'better', 'commercial', 'vacuum', 'reach', 'little', 'spot', 'usually', 'missed', 'nice', 'detail', 'kit', 'lack', 'luster', 'suction', 'power', 'leaving', 'taking', 'star', 'also', 'believe', 'could', 'get', 'le', 'money', 'somewhere', 'else']"
44,4.0,Works just fine,"['money', 'cant', 'go', 'wrong', 'worked', 'well', 'enough', 'suck', 'dirt', 'plant', 'spilled', 'car', 'cord', 'long', 'reach', 'farthest', 'corner', 'car']"
45,4.0,"Good for maintenance upkeep, but not deep clean","['got', 'husband', 'keep', 'car', 'work', 'fine', 'great', 'think', 'would', 'work', 'really', 'well', 'keep', 'car', 'clean', 'wont', 'get', 'clean', 'isnt', 'already', 'think', 'great', 'hand', 'case', 'spill', 'regular', 'maintenance', 'cleaning', 'deep', 'clean', 'car', 'im', 'mad', 'got', 'pretty', 'cheap', 'work', 'pretty', 'well', 'deep', 'cleaning', 'purpose']"
46,4.0,Worth the money for sure,"['wish', 'little', 'bet', 'stronger', 'still', 'job', 'well']"
47,4.0,Good vacuum for the price but don't expect to be getting a deep clean with it.,"['used', 'multiple', 'time', 'cant', 'ever', 'pick', 'debris', 'vacuum', 'there', 'always', 'small', 'rock', 'dont', 'get', 'picked', 'part', 'good', 'vacuum', 'budget', 'dont', 'care', 'deep', 'clean', 'much', 'vacuum', 'one']"
48,4.0,Convenient little vacuum,"['like', 'little', 'vacuum', 'perfect', 'cleaning', 'go', 'hate', 'lug', 'vacuum', 'cleaner', 'go', 'car', 'wash', 'use', 'huge', 'awkward', 'hose', 'dont', 'fit', 'small', 'place', 'vacuum', 'come', 'right', 'attachment', 'especially', 'like', 'plug', 'right', 'car', 'need', 'long', 'extension', 'cord', 'come', 'extra', 'filter', 'little', 'cleaning', 'brush', 'get', 'dirt', 'get', 'full', 'yes', 'filter', 'small', 'need', 'changed', 'often', 'im', 'always', 'surprised', 'dirt', 'sucked', 'recently', 'glitter', 'explosion', 'car', 'lol', 'although', 'didnt', 'get', 'every', 'speck', 'mean', 'cmon', 'glitter', 'definitely', 'got', 'job', 'done', 'happy', 'could', 'quickly', 'clean', 'tha', 'majority', 'without', 'break', 'house', 'vacuum', 'hose', 'attachment', 'work', 'ok', 'getting', 'side', 'seat', 'really', 'wish', 'long', 'plastic', 'attachment', 'specifically', 'otherwise', 'great', 'cord', 'long', 'enough', 'rd', 'row', 'seating', 'mazda', 'cx', 'overall', 'pretty', 'happy', 'purchase']"
49,4.0,Nice compact vacuum,"['suction', 'worked', 'good', 'getting', 'bigger', 'thing', 'struggled', 'little', 'finer', 'thing', 'sanddirt', 'use', 'truck', 'usually', 'pretty', 'dirty', 'offroading']"
50,5.0,Good little vacuum,"['white', 'dog', 'leaf', 'lot', 'hair', 'black', 'interior', 'car', 'little', 'vacuum', 'great', 'job', 'getting', 'mostly', 'gone']"
51,4.0,It's ok.,"['esta', 'bastante', 'bueno', 'para', 'el', 'precio', 'que', 'tiene']"
52,4.0,Suction,"['using', 'product', 'weekend', 'throw', 'away', 'cord', 'started', 'burn', 'smoke', 'everywhere']"
53,4.0,Perfect little vacuum!,"['started', 'lose', 'suction', 'end', 'probably', 'needed', 'emptied']"
54,5.0,It's convenient,"['isnt', 'going', 'get', 'dust', 'sand', 'carpet', 'keep', 'getting', 'dirty', 'trip', 'car', 'wash', 'lot', 'attachment', 'reach', 'spot', 'vacuum', 'wont', 'get', 'isnt', 'powerful', 'affordable', 'long', 'realistic', 'expectation', 'wont', 'disappointed', 'im', 'happy']"
55,4.0,Very convenient but could have more suction power,"['got', 'job', 'done', 'took', 'couple', 'hour', 'car', 'wasnt', 'dirty', 'doesnt', 'best', 'suction', 'power', 'thought', 'worked', 'best', 'brush', 'like', 'leaf', 'pretty', 'vacuum', 'streak', 'floor', 'mat', 'wish', 'didnt', 'car', 'least', 'vacuum', 'car', 'whenever', 'wherever']"
56,5.0,The Value,"['love', 'could', 'used', 'vacuum', 'sofa', 'one', 'especially', 'small', 'child', 'also', 'love', 'dont', 'go', 'car', 'wash', 'vacuum']"
57,5.0,Great vacuum! This thing works better than most full size.,"['great', 'vacuum', 'one', 'bought', 'one', 'gift', 'really', 'work', 'better', 'full', 'size', 'ive', 'tried', 'using']"
58,4.0,Car Vacuum,"['like', 'shop', 'vac', 'get', 'job', 'done', 'love', 'long', 'cord', 'reach', 'really', 'far', 'also', 'love', 'suck', 'debris', 'window', 'crack', 'normally', 'hard', 'get', 'came', 'attachment', 'nice', 'carrying', 'case', 'leave', 'truck']"
59,4.0,Love this little guy!!,"['kid', 'dog', 'car', 'needed', 'love', 'perfect', 'quick', 'clean', 'ups', 'suction', 'isnt', 'strong', 'household', 'vacuum', 'enough', 'keep', 'thing', 'tidy', 'wash', 'daughter', 'ride', 'horse', 'shes', 'tacking', 'give', 'quick', 'run', 'car', 'attachment', 'great', 'hard', 'reach', 'space', 'well']"
60,4.0,Does what it needs to do.,"['obviously', 'vacuum', 'isnt', 'going', 'give', 'power', 'regular', 'car', 'cleaning', 'vacuum', 'however', 'great', 'visible', 'crumb', 'vacuumanle', 'thing']"
61,4.0,ok,['ok']
62,4.0,Perfect size,"['good', 'tight', 'spot']"
63,4.0,It not that powerful,"['good', 'small', 'junk']"
64,4.0,Very convenient to have!,"['really', 'like', 'vacuum', 'make', 'keeping', 'car', 'clean', 'much', 'easier', 'chevrolet', 'suburban', 'dont', 'crank', 'car', 'use', 'sure', 'car', 'way', 'super', 'quiet', 'vacuum', 'good', 'suction', 'cord', 'long', 'enough', 'clean', 'whole', 'car', 'year', 'old', 'year', 'old', 'easy', 'clean', 'car', 'seat', 'attachment', 'vacuum', 'come', 'one', 'thing', 'aggravated', 'keep', 'pushing', 'adapter', 'back', 'outlet', 'huge', 'deal', 'thought', 'id', 'mention', 'liked', 'enough', 'buy', 'christmas', 'gift', 'sad', 'see', 'went', 'second', 'guessing', 'worth', 'price']"
65,5.0,Great vacuum!,"['husband', 'used', 'vacuum', 'two', 'vehicle', 'keep', 'saying', 'good', 'job', 'easy', 'use', 'handle', 'easily', 'good', 'power', 'good', 'suction', 'awesome', 'ill', 'probably', 'get', 'family', 'birthday']"
66,5.0,Good,"['hoping', 'rechargeable', 'looked', 'love', 'item', 'store', 'easy', 'clean', 'doesnt', 'best', 'sucking', 'effect']"
67,4.0,Perfect for the price,"['great', 'extra', 'money', 'constantly', 'go', 'car', 'wash', 'wouldnt', 'say', 'best', 'suction', 'hair', 'stuck', 'grass', 'straw', 'definitely', 'job']"
68,5.0,Easy to use,"['pretty', 'good', 'suction', 'pick', 'quite', 'lot', 'meant', 'small', 'mess', 'like', 'crumb', 'dirty', 'outside', 'like', 'leaf', 'small', 'debris', 'like', 'lot', 'wish', 'could', 'suck', 'water', 'haha', 'pretty', 'good', 'like', 'extra', 'filter']"
69,5.0,Perfect,"['always', 'trunk', 'child', 'always', 'eat', 'inside', 'crumb', 'fall', 'vacuum']"
70,4.0,Good for the money,"['like', 'dont', 'like', 'filter', 'area']"
71,5.0,Great for lighter job,"['easy', 'use', 'easy', 'clean', 'heavy', 'duty', 'job', 'great', 'light', 'spill', 'pleased', 'product']"
72,4.0,It’s okay,"['work', 'great', 'deep', 'cleaning', 'definitely', 'pick', 'small', 'mess', 'great', 'keep', 'suburban', 'clean', 'kid']"
73,4.0,great on the go vacuum,"['got', 'new', 'car', 'want', 'keep', 'clean', 'job', 'suction', 'vacuum', 'bristle', 'pick', 'thing', 'thant', 'clinging', 'like', 'dog', 'hair', 'dog', 'hair', 'stay', 'carpeted', 'liner', 'weathertech', 'liner', 'got', 'work', 'perfect', 'best', 'deep', 'cleaning', 'get', 'crumb', 'kid']"
74,4.0,Gifted,['gifted']
75,4.0,Easy use,"['kid', 'leave', 'huge', 'mess', 'car', 'helped', 'suction', 'okay', 'take', 'bit', 'get', 'everything', 'compared', 'regular', 'vacuum', 'job', 'stay', 'car', 'need']"
76,5.0,Perfect,"['great', 'powerful', 'mini', 'vacuum', 'car', 'mom', 'three', 'young', 'kid', 'love', 'snack', 'leave', 'mess', 'car', 'use', 'without', 'picking', 'big', 'stuff', 'picked', 'perfectly', 'amazing', 'love']"
77,3.0,"Good enough, but...","['product', 'long', 'time', 'actually', 'used', 'today', 'first', 'time', 'using', 'goodish', 'let', 'go', 'detail', 'first', 'background', 'majority', 'car', 'detailer', 'full', 'exterior', 'interior', 'cleaning', 'trade', 'vehicle', 'think', 'previous', 'knowledge', 'vacuuming', 'car', 'hold', 'weight', 'may', 'also', 'expose', 'bit', 'bias', 'part', 'honest', 'vacuum', 'suck', 'yes', 'create', 'enough', 'suction', 'pick', 'dirt', 'small', 'debris', 'said', 'really', 'doesnt', 'much', 'regard', 'want', 'try', 'using', 'vacuum', 'anything', 'vehicle', 'flooring', 'good', 'luck', 'barely', 'good', 'vacuum', 'also', 'able', 'pick', 'debris', 'noncarpeted', 'surface', 'extract', 'anything', 'need', 'basically', 'use', 'attachment', 'like', 'scraper', 'first', 'loosen', 'dirtdebris', 'need', 'apply', 'full', 'suction', 'clogging', 'port', 'carpeted', 'surface', 'good', 'bad', 'shop', 'vac', 'time', 'time', 'eventually', 'lead', 'burning', 'motor', 'work', 'honestly', 'surprised', 'little', 'car', 'charger', 'port', 'vacuum', 'anything', 'vehicle', 'carpeting', 'plus', 'youre', 'looking', 'maintain', 'carpetfloor', 'mat', 'get', 'actual', 'shop', 'vac', 'small', 'one', 'create', 'enough', 'suction', 'needed', 'vehicle', 'able', 'maintain', 'star', 'work', 'used', 'serious', 'cleaning', 'recommend', 'product', 'worth', 'buying', 'anyway', 'since', 'keep', 'good', 'job', 'ready', 'vacuum', 'least', 'weekly', 'maybe', 'often', 'depending', 'dirty', 'get', 'vehicle', 'worth', 'price', 'recommended', 'deep', 'cleaningserious', 'work']"
78,4.0,Small but Mighty,"['although', 'isnt', 'strongest', 'suctioning', 'vacuum', 'plenty', 'small', 'mess', 'inside', 'car', 'used', 'today', 'quite', 'impressed', 'perfection', 'car', 'look', 'clean', 'small', 'lengthy', 'tool', 'fit', 'beside', 'seat', 'especially', 'impressive', 'cord', 'length', 'plenty', 'plug', 'vacuum', 'entire', 'suv']"
